account,coin,exec_price,size_usd,side,direction,pnl,fee,net_pnl,is_win,is_cross_margin,trade_date,sentiment
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AAVE,242.32,906.28,SELL,Close Long,34.643246,0.317196,34.326049999999995,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AAVE,242.31,16.96,SELL,Close Long,0.647703,0.005936,0.641767,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AAVE,242.31,7048.8,SELL,Close Long,269.166861,2.467079,266.69978199999997,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AAVE,242.3,7298.08,SELL,Close Long,278.396148,2.554326,275.841822,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AAVE,242.3,1092.77,SELL,Close Long,41.685479,0.38247,41.303009,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AAVE,242.29,1063.65,SELL,Close Long,40.532431,0.372278,40.160153,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AAVE,242.27,40648.06,SELL,Close Long,1545.740362,14.226821,1531.513541,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AAVE,242.24,748.52,SELL,Close Long,28.375161,0.261982,28.113179,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AAVE,242.22,27140.75,SELL,Close Long,1026.702945,9.499262,1017.203683,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AAVE,241.89,7474.4,SELL,Close Long,272.93661,2.61604,270.32057,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AAVE,241.42,4886.34,SELL,Close Long,169.265096,1.710219,167.554877,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AAVE,241.4,818.35,SELL,Close Long,28.282431,0.286421,27.99601,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AAVE,241.39,3565.33,SELL,Close Long,123.076933,1.247865,121.82906799999999,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AAVE,241.38,3574.84,SELL,Close Long,123.262149,1.251193,122.010956,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AAVE,241.34,8188.67,SELL,Close Long,281.038797,2.866033,278.172764,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AAVE,241.32,7056.2,SELL,Close Long,241.607196,2.469668,239.13752799999997,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AAVE,241.29,752.82,SELL,Close Long,25.686648,0.263488,25.423160000000003,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AAVE,241.28,4224.81,SELL,Close Long,143.982979,1.478684,142.504295,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AAVE,241.25,1049.44,SELL,Close Long,35.639115,0.367303,35.271812,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AAVE,241.25,4224.29,SELL,Close Long,143.457679,1.4785,141.97917900000002,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AAVE,241.23,16813.73,SELL,Close Long,569.65113,5.884805,563.7663249999999,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AAVE,241.18,7329.46,SELL,Close Long,246.854931,2.565311,244.28961999999999,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AAVE,241.18,7864.88,SELL,Close Long,264.887769,2.752707,262.135062,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AAVE,241.17,4225.3,SELL,Close Long,142.138008,1.478854,140.659154,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AAVE,241.15,696.92,SELL,Close Long,23.388481,0.243923,23.144558,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AAVE,241.14,19.29,SELL,Close Long,0.646632,0.006751,0.639881,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AAVE,241.14,168.8,SELL,Close Long,5.65803,0.059079,5.5989510000000005,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AAVE,241.14,19.29,SELL,Close Long,0.646632,0.006751,0.639881,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AAVE,241.14,40.99,SELL,Close Long,1.374093,0.014347,1.359746,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AAVE,241.14,19.29,SELL,Close Long,0.646632,0.006751,0.639881,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AAVE,241.09,4226.31,SELL,Close Long,140.816737,1.479207,139.33753,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AAVE,241.06,4225.78,SELL,Close Long,140.290837,1.479023,138.811814,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AAVE,241.05,841.26,SELL,Close Long,27.895221,0.294442,27.600779,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AAVE,241.04,2369.42,SELL,Close Long,78.471907,0.829298,77.64260900000001,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AAVE,241.04,988.26,SELL,Close Long,32.72989,0.345892,32.383998,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AAVE,241.04,7949.5,SELL,Close Long,263.276042,2.782324,260.493718,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AAVE,241.02,7645.15,SELL,Close Long,252.583188,2.675804,249.907384,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AAVE,240.97,1171.11,SELL,Close Long,38.456694,0.409889,38.046805,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AAVE,240.95,8035.68,SELL,Close Long,263.228215,2.812488,260.415727,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AAVE,240.94,149.38,SELL,Close Long,4.887398,0.052283,4.835115,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,GMX,13.655,21.57,SELL,Close Long,2.464958,0.007248,2.45771,True,True,2025-04-09,Extreme Fear
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,GMX,13.655,418.39,SELL,Close Long,47.801464,0.140578,47.660886000000005,True,True,2025-04-09,Extreme Fear
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,GMX,13.652,2249.99,SELL,Close Long,256.625651,0.755995,255.869656,True,True,2025-04-09,Extreme Fear
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,GMX,13.651,770.05,SELL,Close Long,87.779601,0.258737,87.520864,True,True,2025-04-09,Extreme Fear
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,GMX,13.65,1198.2,SELL,Close Long,136.506678,0.402593,136.104085,True,True,2025-04-09,Extreme Fear
